v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Ok, What are you doing this weekend? thanks",,,
spam,"ALERT: FreeMsg: Hey there darling, txt back to claim your free gift, hurry offer closes soon Limited time only 2914",,,
ham,"COOL, SEE YOU THEN :) 6904",,,
ham,"Hey, The kids are asking when you'll be back no rush",,,
ham,"Mom said dinner is ready, come home let me know",,,
ham,So Happy birthday! Hope you have a great day :),,,
ham,"Ok, I left my keys at your place, can you check? let me know",,,
ham,CAN WE RESCHEDULE OUR MEETING TO FRIDAY? NO RUSH,,,
ham,"So Hey, are you free tonight? Let's grab dinner :)",,,
ham,Please remember to feed the cat no rush,,,
ham,"Btw, Ok lar... I'll call you later :)",,,
ham,"Also, I'll pay you back on Friday, promise let me know",,,
ham,"Ok, Lol that's so funny, send me the video :)",,,
ham,"Hey, I'm at the gym, call you after thanks 9835",,,
ham,"Hey, Mom said dinner is ready, come home let me know 3827",,,
ham,"Ok, Did you finish the report yet? :)",,,
ham,"Ok, The kids are asking when you'll be back haha",,,
ham,So Did you finish the report yet? let me know,,,
ham,"Btw, I'm running late, traffic is bad ok?",,,
ham,"Ok, I'll pay you back on Friday, promise haha",,,
spam,ALERT: FREE MSG: You are eligible for a discount on your next mobile bill. Call 08000930705 now to claim Offer ends soon,,,
ham,"Hey, I'm on my way, be there in 10 mins no rush",,,
ham,"WELL, CAN YOU SEND ME THE ADDRESS AGAIN? 5127",,,
ham,"Btw, I left my keys at your place, can you check? no rush 2928",,,
ham,"Hey, Thanks for helping me move last weekend haha",,,
ham,"ALSO, I'M ON MY WAY, BE THERE IN 10 MINS LET ME KNOW",,,
ham,"WELL, I'M ON MY WAY, BE THERE IN 10 MINS SEE YA",,,
ham,What are you doing this weekend? haha 2103,,,
spam,"Hi, FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires T&Cs apply",,,
ham,"Lol that's so funny, send me the video no rush 8113",,,
ham,SO WHAT TIME DOES THE MOVIE START? THANKS,,,
spam,"NOTICE: Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward Reply STOP to opt out",,,
ham,"Well, Mom said dinner is ready, come home no rush",,,
ham,So See you at the usual place tomorrow ok? 6908,,,
spam,"Hi, Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw",,,
ham,"Btw, See you at the usual place tomorrow let me know",,,
spam,ALERT: WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now Limited time only,,,
spam,"Hi, You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry Reply STOP to opt out",,,
ham,Happy birthday! Hope you have a great day see ya 8702,,,
ham,"HEY, NAH I DON'T THINK I CAN MAKE IT TONIGHT NO RUSH",,,
ham,"Btw, I'm on my way, be there in 10 mins ok?",,,
spam,FREEMSG: TXT CALL TO 86888 AND CLAIM YOUR REWARD OF 3 HOURS TALK TIME TO USE FROM YOUR PHONE NOW REPLY STOP TO OPT OUT 1521,,,
ham,"Ok, Let's meet at the coffee shop at 9 no rush",,,
ham,"Btw, Did you finish the report yet? haha 5272",,,
ham,"Hey, I'm on my way, be there in 10 mins see ya 1618",,,
ham,"ALSO, I'M RUNNING LATE, TRAFFIC IS BAD",,,
ham,"Well, What are you doing this weekend? let me know",,,
ham,"Hey, I'm running late, traffic is bad let me know 8366",,,
spam,"Hi, Free ringtone waiting for you to be collected. Simply text PASSWORD to 68866 now Limited time only",,,
ham,So Thanks for helping me move last weekend :) 5744,,,
spam,"Get a free holiday voucher worth £2000, text HOLIDAY to 80488 to claim before this offer expires Reply STOP to opt out",,,
ham,"Actually, Nah I don't think I can make it tonight let me know 3347",,,
spam,"Hi, Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Offer ends soon",,,
ham,"Actually, Just landed, will call you soon haha",,,
spam,"ALERT: URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now Limited time only",,,
ham,"Well, I'm running late, traffic is bad no rush",,,
ham,"Hey, Can you send me the address again? let me know 5937",,,
ham,"So Sorry I missed your call, was in a meeting thanks",,,
ham,Please remember to feed the cat let me know 6947,,,
ham,So Did you finish the report yet? no rush,,,
ham,"ALSO, CAN WE RESCHEDULE OUR MEETING TO FRIDAY? HAHA 6539",,,
ham,"Actually, I'll pay you back on Friday, promise let me know",,,
ham,"Btw, Can we reschedule our meeting to Friday?",,,
ham,"WELL, SEE YOU AT THE USUAL PLACE TOMORROW SEE YA 7203",,,
ham,"SO I LEFT MY KEYS AT YOUR PLACE, CAN YOU CHECK? LET ME KNOW",,,
ham,"Hey, I'll pay you back on Friday, promise no rush 6060",,,
ham,"Hey, Mom said dinner is ready, come home haha 9148",,,
ham,"Well, Good morning, hope you slept well :)",,,
ham,"Actually, Did you finish the report yet? thanks",,,
spam,"Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward Offer ends soon",,,
ham,"Ok, Just landed, will call you soon see ya",,,
spam,"Dear customer, Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today T&Cs apply",,,
ham,"Ok, Good morning, hope you slept well :)",,,
ham,"Actually, Good morning, hope you slept well see ya",,,
spam,NOTICE: Free ringtone waiting for you to be collected. Simply text PASSWORD to 68866 now Limited time only 4425,,,
ham,"Actually, Good morning, hope you slept well see ya",,,
ham,"Hey, Ok lar... I'll call you later ok? 4694",,,
ham,What time does the movie start? no rush,,,
ham,"Ok, I'm running late, traffic is bad let me know",,,
spam,WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now Limited time only 3126,,,
ham,So Ok lar... I'll call you later 1550,,,
ham,"Hey, I'm running late, traffic is bad thanks 7387",,,
spam,"ALERT: URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now T&Cs apply",,,
ham,"WELL, JUST LANDED, WILL CALL YOU SOON NO RUSH",,,
spam,"Hi, You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends Reply STOP to opt out",,,
ham,"Also, I'm on my way, be there in 10 mins haha 3734",,,
ham,"I left my keys at your place, can you check? :)",,,
ham,"Btw, Did you finish the report yet? haha 8989",,,
ham,"Ok, I'm running late, traffic is bad ok?",,,
ham,"I'll pay you back on Friday, promise haha",,,
ham,"Hey, Can we reschedule our meeting to Friday? let me know",,,
ham,"Hey, Thanks for helping me move last weekend thanks 5616",,,
ham,"Btw, See you at the usual place tomorrow haha",,,
spam,"Hi, Last chance! Claim your free prize now by calling 09050002311, offer closes at midnight tonight Offer ends soon 4812",,,
ham,"BTW, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY OK?",,,
ham,"Btw, Can we reschedule our meeting to Friday? haha",,,
spam,URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim Limited time only 9153,,,
ham,"Hey, I left my keys at your place, can you check? see ya",,,
ham,"WELL, HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER :) 5076",,,
ham,"Well, U dun say so early hor, u c already then say let me know 9341",,,
ham,"Also, I'm at the gym, call you after let me know",,,
spam,"Get a free holiday voucher worth £2000, text HOLIDAY to 80488 to claim before this offer expires Reply STOP to opt out",,,
ham,"Btw, Don't forget to bring your charger :) 5096",,,
ham,"Actually, The kids are asking when you'll be back",,,
ham,"Hey, Please remember to feed the cat no rush",,,
ham,"Well, Please remember to feed the cat no rush",,,
ham,"Also, See you at the usual place tomorrow thanks",,,
ham,See you at the usual place tomorrow haha,,,
ham,"Also, What are you doing this weekend? let me know",,,
ham,"Actually, Hey, are you free tonight? Let's grab dinner :)",,,
ham,"Actually, Can we reschedule our meeting to Friday? thanks 8179",,,
spam,ALERT: URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim Limited time only,,,
ham,So The kids are asking when you'll be back ok?,,,
ham,"Btw, U dun say so early hor, u c already then say let me know",,,
ham,"Ok, U dun say so early hor, u c already then say thanks",,,
ham,"ALSO, WHAT TIME DOES THE MOVIE START? :) 5781",,,
ham,So Nah I don't think I can make it tonight let me know,,,
spam,"HI, YOU HAVE BEEN RANDOMLY SELECTED TO WIN A SHOPPING VOUCHER. TEXT SHOP TO 85023 NOW FOR FREE ENTRY",,,
ham,"Btw, Please remember to feed the cat thanks",,,
ham,"Well, See you at the usual place tomorrow let me know",,,
ham,"Hey, The kids are asking when you'll be back ok? 8573",,,
ham,"Also, Don't forget to bring your charger",,,
ham,"Also, Let's meet at the coffee shop at 9 ok? 5767",,,
ham,"Hey, Sorry I missed your call, was in a meeting let me know",,,
ham,"Actually, Just landed, will call you soon :)",,,
spam,"ALERT: URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now",,,
ham,"Ok, I'm on my way, be there in 10 mins let me know 5896",,,
ham,"Also, Thanks for helping me move last weekend see ya",,,
ham,"Ok, See you at the usual place tomorrow haha",,,
ham,"Ok, Can you pick up milk on your way home? ok?",,,
ham,So Happy birthday! Hope you have a great day ok?,,,
spam,NOTICE: Free ringtone waiting for you to be collected. Simply text PASSWORD to 68866 now Offer ends soon,,,
ham,"So I'll pay you back on Friday, promise haha 8800",,,
spam,"ALERT: SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575 T&Cs apply",,,
ham,"HEY, I'LL PAY YOU BACK ON FRIDAY, PROMISE NO RUSH",,,
ham,"Btw, Hey, are you free tonight? Let's grab dinner see ya",,,
ham,NAH I DON'T THINK I CAN MAKE IT TONIGHT,,,
ham,"Btw, How was your exam today? haha",,,
ham,"Well, Let's meet at the coffee shop at 9 no rush",,,
ham,"Also, Good morning, hope you slept well ok?",,,
spam,"ALERT: Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires Limited time only",,,
ham,"Hey, How was your exam today? 6175",,,
ham,"WELL, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY THANKS",,,
ham,"Ok, What time does the movie start? :)",,,
ham,"So Cool, see you then haha",,,
spam,"ALERT: Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward Offer ends soon",,,
ham,Let's meet at the coffee shop at 9 thanks,,,
ham,"BTW, NAH I DON'T THINK I CAN MAKE IT TONIGHT SEE YA 6111",,,
ham,So Thanks for helping me move last weekend no rush,,,
ham,"HEY, THANKS FOR HELPING ME MOVE LAST WEEKEND HAHA",,,
ham,"Hey, How was your exam today? thanks",,,
spam,"Dear customer, Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight Limited time only 9202",,,
ham,"Well, Let's meet at the coffee shop at 9 see ya",,,
ham,"BTW, I LEFT MY KEYS AT YOUR PLACE, CAN YOU CHECK? SEE YA 4329",,,
ham,"So I'll pay you back on Friday, promise let me know",,,
spam,"Dear customer, Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today",,,
ham,"Actually, Lol that's so funny, send me the video haha",,,
spam,Congratulations! You've been selected to receive a FREE £1000 cash reward. Text CLAIM to 88888 now,,,
ham,"So Sorry I missed your call, was in a meeting let me know",,,
ham,"Btw, Please remember to feed the cat no rush",,,
ham,"I left my keys at your place, can you check? 8688",,,
ham,"Actually, Sorry I missed your call, was in a meeting haha 2213",,,
ham,"Hey, How was your exam today?",,,
ham,"Also, I'm running late, traffic is bad ok?",,,
ham,"Well, I'm on my way, be there in 10 mins :)",,,
ham,"Also, Happy birthday! Hope you have a great day 8091",,,
ham,"Btw, Let's meet at the coffee shop at 9 ok?",,,
ham,"Hey, Cool, see you then see ya",,,
ham,"Well, Thanks for helping me move last weekend no rush",,,
ham,"Well, What are you doing this weekend? thanks",,,
ham,"Hey, What are you doing this weekend? haha",,,
ham,"Btw, I'll be there in five minutes ok?",,,
ham,"Well, Good morning, hope you slept well haha",,,
ham,Did you finish the report yet? no rush 6241,,,
ham,"I'm on my way, be there in 10 mins thanks",,,
ham,"Actually, Lol that's so funny, send me the video thanks",,,
ham,"Also, Can you pick up milk on your way home? ok?",,,
ham,"Btw, Let's meet at the coffee shop at 9 see ya",,,
ham,"Ok, Just landed, will call you soon thanks",,,
ham,"Btw, Good morning, hope you slept well ok? 6154",,,
ham,"Btw, Mom said dinner is ready, come home haha",,,
ham,So Can you pick up milk on your way home? no rush,,,
ham,"Also, Can you send me the address again? haha",,,
ham,Did you finish the report yet? thanks,,,
ham,"Well, Hey, are you free tonight? Let's grab dinner",,,
ham,"ACTUALLY, CAN YOU SEND ME THE ADDRESS AGAIN? :)",,,
ham,"WELL, I'M RUNNING LATE, TRAFFIC IS BAD 2245",,,
ham,"Ok, The kids are asking when you'll be back let me know",,,
ham,"Hey, Just landed, will call you soon",,,
ham,"Hey, Let's meet at the coffee shop at 9 let me know",,,
ham,"I'm running late, traffic is bad let me know 7895",,,
ham,What time does the movie start? see ya,,,
ham,"Also, I'm at the gym, call you after haha",,,
ham,"I'm at the gym, call you after ok?",,,
ham,"So I'm at the gym, call you after thanks 8523",,,
ham,"Also, What time does the movie start? no rush",,,
ham,"Hey, Happy birthday! Hope you have a great day ok?",,,
ham,"Also, What are you doing this weekend? thanks",,,
ham,"Well, Mom said dinner is ready, come home no rush",,,
ham,So Ok lar... I'll call you later haha 6689,,,
ham,"Also, Please remember to feed the cat ok? 9830",,,
ham,So What time does the movie start? ok?,,,
ham,"U dun say so early hor, u c already then say haha",,,
ham,"Well, Can we reschedule our meeting to Friday? haha",,,
spam,"HI, WIN A BRAND NEW CAR BY ENTERING OUR FREE DRAW. TEXT CAR TO 89545 BEFORE OFFER CLOSES TONIGHT OFFER ENDS SOON 1826",,,
ham,"So I'm on my way, be there in 10 mins ok? 5262",,,
ham,"Actually, Good morning, hope you slept well see ya",,,
ham,"HEY, HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY",,,
ham,"Well, I'll be there in five minutes let me know 7070",,,
ham,"Btw, Just landed, will call you soon :)",,,
ham,"Well, Just landed, will call you soon no rush",,,
spam,"Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires Limited time only 7251",,,
ham,"Also, What are you doing this weekend? let me know",,,
spam,"Hi, FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Limited time only 6739",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner see ya",,,
spam,"Hi, Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Reply STOP to opt out",,,
ham,"Btw, Hey, are you free tonight? Let's grab dinner no rush",,,
ham,"Ok, Just landed, will call you soon haha",,,
ham,"Hey, Happy birthday! Hope you have a great day thanks",,,
ham,"So Good morning, hope you slept well let me know",,,
ham,"Also, Good morning, hope you slept well let me know",,,
ham,"I'm at the gym, call you after no rush",,,
spam,"Hi, Last chance! Claim your free prize now by calling 09050002311, offer closes at midnight tonight",,,
ham,"Also, Lol that's so funny, send me the video ok?",,,
ham,"WELL, I'M ON MY WAY, BE THERE IN 10 MINS NO RUSH",,,
ham,"Actually, What time does the movie start? :)",,,
ham,"ALSO, HOW WAS YOUR EXAM TODAY? SEE YA",,,
ham,"Ok, Nah I don't think I can make it tonight 7229",,,
ham,"Btw, Please remember to feed the cat thanks",,,
ham,So What are you doing this weekend? see ya,,,
ham,"Hey, U dun say so early hor, u c already then say haha",,,
ham,"Btw, Sorry I missed your call, was in a meeting ok?",,,
ham,"ACTUALLY, SEE YOU AT THE USUAL PLACE TOMORROW NO RUSH",,,
ham,"Just landed, will call you soon :)",,,
ham,"Actually, Can we reschedule our meeting to Friday? :)",,,
ham,"Well, Hey, are you free tonight? Let's grab dinner haha",,,
ham,What time does the movie start? thanks 1611,,,
ham,"Ok, I left my keys at your place, can you check? 4300",,,
spam,"ALERT: FreeMsg: Hey there darling, txt back to claim your free gift, hurry offer closes soon Offer ends soon",,,
ham,"Also, Ok lar... I'll call you later let me know",,,
ham,"ACTUALLY, HOW WAS YOUR EXAM TODAY?",,,
ham,"Btw, U dun say so early hor, u c already then say let me know",,,
ham,"So Just landed, will call you soon let me know",,,
ham,"Actually, Can you pick up milk on your way home? haha 1853",,,
ham,NAH I DON'T THINK I CAN MAKE IT TONIGHT NO RUSH,,,
ham,"Also, Happy birthday! Hope you have a great day",,,
ham,"Ok, Let's meet at the coffee shop at 9 haha",,,
ham,"Also, I'm on my way, be there in 10 mins haha",,,
spam,"NOTICE: Get a free holiday voucher worth £2000, text HOLIDAY to 80488 to claim before this offer expires",,,
ham,"So Hey, are you free tonight? Let's grab dinner see ya",,,
ham,So Thanks for helping me move last weekend,,,
spam,FREEMSG: TXT CALL TO 86888 AND CLAIM YOUR REWARD OF 3 HOURS TALK TIME TO USE FROM YOUR PHONE NOW,,,
spam,"Dear customer, FreeMsg: Txt CALL to 86888 and claim your reward of 3 hours talk time to use from your phone now Limited time only",,,
ham,What are you doing this weekend? see ya,,,
ham,"Well, Cool, see you then thanks 8138",,,
ham,"Btw, Thanks for helping me move last weekend",,,
ham,"Well, I'm running late, traffic is bad no rush",,,
spam,"HI, TEXT STOP TO OPT OUT OR REPLY YES TO CLAIM YOUR FREE ENTRY INTO THIS WEEK'S £1000 PRIZE DRAW REPLY STOP TO OPT OUT 6718",,,
ham,"Also, I left my keys at your place, can you check? see ya",,,
spam,"Hi, Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires Reply STOP to opt out",,,
ham,Thanks for helping me move last weekend :),,,
ham,"So U dun say so early hor, u c already then say see ya",,,
ham,"Well, Don't forget to bring your charger thanks",,,
ham,"OK, HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER :)",,,
ham,"Well, Just landed, will call you soon no rush",,,
ham,So Can you send me the address again?,,,
ham,"SO I'LL PAY YOU BACK ON FRIDAY, PROMISE OK?",,,
ham,"Cool, see you then no rush",,,
ham,"Well, Let's meet at the coffee shop at 9 haha 7189",,,
ham,"OK, I LEFT MY KEYS AT YOUR PLACE, CAN YOU CHECK? HAHA",,,
ham,"Well, Hey, are you free tonight? Let's grab dinner thanks 4996",,,
ham,So The kids are asking when you'll be back :),,,
ham,"Ok, Good morning, hope you slept well",,,
ham,Don't forget to bring your charger see ya 3174,,,
ham,"Actually, U dun say so early hor, u c already then say ok?",,,
ham,"Also, I'm running late, traffic is bad :)",,,
